r1 ref 1083 + 2
r2 ref 148 + 1
r2 ref 207 - 1
r3 ref 19 + 1
r4 ref 171 + 1
r4 ref 1291 - 1
r5* 0 * 0
r6 ref 305 + 1
r6 ref 406 - 4
r7 ref 540 + 3
r8 ref 754 + 1
r8 ref 570 - 1
r9 ref 102 + 1
r9 ref 1222 - 1
r10 ref 1204 - 1
r11 ref 132 + 1
r12 ref 1172 - 1
r13* 0 * 0
r14 ref 486 - 1
r15 ref 48 + 3
r15 ref 1024 - 1
r16 ref 201 + 2
r16 ref 353 - 3
r17 ref 242 + 2
r18 ref 1247 - 1
r19 ref 731 + 1
r20 ref 1269 + 1
r20 ref 579 - 2
r21 ref 416 + 2
r21 ref 526 - 1
r22 ref 88 - 1
r23 ref 1284 + 1
r24 ref 31 - 1
r25 ref 111 + 1
r26 ref 1201 - 1
r27 ref 1291 + 1
r27 ref 1132 - 1
r28 ref 22 - 2
r29 ref 863 + 1
r30 ref 445 - 1
r31 ref 336 + 2
r32 ref 200 - 1
r33 ref 488 + 3
r33 ref 1321 - 1
r34 ref 822 - 1
r35 ref 1306 + 1
r36 ref 7 - 1
r37 ref 348 + 2
r37 ref 772 - 1
r38 ref 966 - 1
r39 ref 611 + 1
r40 ref 125 + 2
r40 ref 783 - 1
r41 ref 126 + 1
r42 ref 1182 - 1
r43 ref 571 + 3
r43 ref 971 - 1
r44 ref 739 - 1
r45 ref 32 + 2
r46 ref 300 + 1
r46 ref 405 - 3
r47 ref 491 + 2
r48 ref 244 + 2
r48 ref 188 - 2
r49 ref 446 + 2
r50 ref 347 - 1
r51 ref 345 + 2
r52 ref 238 - 1
r53* 0 * 0
r54* 0 * 0
r55 ref 1227 + 1
r56 ref 87 - 1
r57 ref 136 + 2
r58 ref 73 + 4
r58 ref 1056 - 1
r59* 0 * 0
r60* 0 * 0
r61 ref 235 + 2
r61 ref 290 - 2
r62 ref 1047 + 1
r62 ref 1073 - 1
r63 ref 836 + 2
r64 ref 420 - 1
r65 ref 74 + 2
r65 ref 166 - 1
r66 ref 380 - 1
r67* 0 * 0
r68 ref 1093 - 1
r69 ref 873 + 1
r69 ref 744 - 1
r70 ref 206 + 4
r70 ref 439 - 1
r71 ref 914 + 1
r72 ref 204 + 4
r72 ref 392 - 1
r73* 0 * 0
r74 ref 619 - 2
r75 ref 990 + 1
r76* 0 * 0
r77 ref 503 + 1
r77 ref 588 - 1
r78 ref 338 - 1
r79 ref 1247 + 1
r79 ref 77 - 1
r80 ref 62 - 1
r81 ref 342 + 2
r82 ref 906 + 1
r82 ref 970 - 1
r83 ref 39 + 1
r84 ref 984 - 2
r85* 0 * 0
r86 ref 695 - 1
r87 ref 1008 + 1
r87 ref 692 - 1
r88 ref 307 - 1
r89 ref 768 + 2
r89 ref 1006 - 5
r90 ref 348 + 2
r90 ref 772 - 1
r91* 0 * 0
r92 ref 505 - 1
r93 ref 469 + 5
r94 ref 313 - 2
r95 ref 90 + 1
r96 ref 101 + 2
r96 ref 1221 - 1
r97 ref 783 + 2
r98 ref 522 - 2
r99 ref 1046 + 1
r99 ref 1072 - 1
r100 ref 814 + 1
r100 ref 261 - 2
r101 ref 979 + 1
r101 ref 904 - 1
r102* 0 * 0
r103 ref 1059 + 1
r104 ref 248 - 4
r105 ref 829 + 1
r105 ref 548 - 1
r106 ref 477 - 2
r107 ref 337 + 3
r108 ref 250 - 1
r109 ref 697 + 1
r109 ref 36 - 2
r110 ref 727 + 1
r110 ref 614 - 2
r111 ref 9 + 2
r112 ref 619 - 2
r113 ref 644 + 2
r114 ref 232 - 2
r115 ref 345 + 2
r116 ref 967 - 1
r117 ref 301 + 4
r117 ref 834 - 4
r118 ref 767 + 1
r118 ref 1005 - 2
r119 ref 460 + 1
r119 ref 624 - 1
r120 ref 435 + 1
r120 ref 848 - 2
r121 ref 173 + 1
r121 ref 364 - 1
r122 ref 901 + 1
r122 ref 1134 - 1
r123 ref 210 + 5
r123 ref 412 - 1
r124 ref 218 - 1
r125 ref 73 + 1
r126 ref 421 + 3
r126 ref 1240 - 1
r127 ref 1120 + 1
r128 ref 245 + 2
r128 ref 189 - 2
r129 ref 156 + 1
r130 ref 960 + 1
r130 ref 1151 - 1
r131 ref 431 + 2
r131 ref 889 - 1
r132* 0 * 0
r133 ref 841 + 1
r134 ref 471 - 1
r135 ref 164 + 2
r135 ref 781 - 1
r136 ref 562 - 2
r137 ref 392 + 2
r138 ref 308 - 1
r139 ref 546 + 3
r139 ref 956 - 1
r140 ref 611 - 1
r141 ref 182 + 1
r142 ref 1120 + 1
r143 ref 1036 + 1
r144 ref 346 - 1
r145 ref 143 + 1
r146 ref 56 + 1
r146 ref 1169 - 1
r147 ref 244 + 2
r147 ref 188 - 2
r148 ref 1047 + 1
r148 ref 1073 - 1
r149 ref 596 + 1
r150 ref 714 - 1
r151 ref 566 + 1
r151 ref 986 - 1
r152 ref 873 + 1
r152 ref 744 - 1
r153 ref 649 + 1
r154 ref 1209 - 1
r155 ref 108 + 1
r156 ref 1204 - 1
r157* 0 * 0
r158 ref 278 + 1
r158 ref 1028 - 2
r159 ref 418 + 1
r160* 0 * 0
r161* 0 * 0
r162 ref 668 - 3
r163 ref 557 + 1
r164 ref 353 + 1
r164 ref 417 - 3
r165 ref 543 + 1
r165 ref 142 - 2
r166 ref 769 - 1
r167 ref 716 + 1
r168 ref 599 - 1
r169 ref 515 + 1
r170 ref 698 + 3
r170 ref 799 - 1
r171 ref 826 + 1
r171 ref 543 - 1
r172* 0 * 0
r173 ref 209 + 4
r173 ref 411 - 1
r174 ref 980 + 2
r174 ref 905 - 1
r175 ref 1064 + 1
r176 ref 246 - 1
r177 ref 206 + 4
r177 ref 439 - 1
r178* 0 * 0
r179 ref 48 + 3
r179 ref 1024 - 1
r180 ref 1204 + 1
r180 ref 394 - 2
r181 ref 14 - 1
r182 ref 4 + 1
r182 ref 16 - 3
r183 ref 872 + 1
r184* 0 * 0
r185 ref 744 + 1
r186 ref 456 - 1
r187 ref 506 + 2
r188* 0 * 0
r189* 0 * 0
r190 ref 1027 + 2
r190 ref 289 - 1
r191 ref 276 + 1
r191 ref 1026 - 1
r192 ref 1035 - 1
r193 ref 390 + 1
r194 ref 1261 + 1
r194 ref 918 - 1
r195 ref 1275 - 1
r196 ref 761 - 1
r197* 0 * 0
r198 ref 1283 - 1
r199 ref 194 + 1
r200* 0 * 0
r201 ref 335 + 1
r202 ref 992 + 1
r202 ref 210 - 2
r203 ref 1297 + 1
r204 ref 4 + 1
r204 ref 16 - 3
r205 ref 1119 + 1
r206 ref 190 - 2
r207 ref 301 + 4
r207 ref 834 - 4
r208 ref 767 + 1
r208 ref 1005 - 2
r209 ref 71 + 2
r210 ref 41 - 1
r211 ref 1137 + 1
r211 ref 436 - 3
r212 ref 183 - 5
r213 ref 1153 + 1
r214 ref 160 - 1
r215 ref 566 + 1
r215 ref 986 - 1
r216 ref 743 - 1
r217 ref 74 + 2
r217 ref 166 - 1
r218 ref 1239 - 1
